achieving,action,actions,address,addresses,agenda,agreement,agreements,agri0,amount,amounts,applicant,applicants,application,applications,architecture,area,areas,article,articles,associations,beneficiaries,beneficiary,budget,call,calls,cancer,case,cases,companies,company,contract,contracts,core,countries,country,date,dates,development,developments,duration,dynamics,educational,effect,effects,eligible,energy,engineering,environment,environments,establishment,establishments,field,fields,finances,financing,foundation,foundations,framework,fund,funding,funds,general,goals,governmental,grant,grants,guideline,guidelines,1,humanities,hydrogen,increasing,indicative,individual,individuals,industries,industry,infrastructure,infrastructures,institution,institutions,interaction,interactions,interim,investment,law,member,members,objective,objectives,organisation,organisations,organization,organizations,outcome,outcomes,participant,participants,parties,parts,party,payment,payments,personal,plan,planning,plans,priorities,priority,program,programme,programmes,programs,project,projects,proposal,proposals,protection,provision,provisions,public,repair,reporting,request,requests,requirements,result,results,scheme,schemes,science,sciences,sector,sectors,security,service,services,simulation,social,societal,societies,3,specific,storage,strengthening,subject,submission,sum,sums,support,supports,taking,technologies,technology,theme,themes,topic,topics,transport,world,@@class@@
0,0.378,0.418,0,0,0,0,0,0,0.723,1.206,0.814,0.431,0.349,0.723,0,0,0,0,0,0,0.697,0.981,0.357,0.303,0.601,0,0.5,0.736,0,0,0.942,0,0,0,0,0.542,0,0,0,0,0,0,0.947,0,0.437,0,0,0,0,0,0,0.538,0,0,0.786,0,1.74,0,0,0.231,0,0.309,0,0,0.372,0.493,0,0,0,0,0,0,0,0.676,0,0,0,0,0,1.503,0.644,0,0,1.654,0,0,0.45,0,0,0,0.549,0.354,0,0,1.11,0,0,0.652,1.084,0,1.251,1.322,1.715,0,0.693,0,0,0,0,0,0.179,0.507,0,0.164,0.226,0.424,0,0,0,0,0.366,0,0,0,0,0,0,0.334,0,0,0,0,0,0,0.767,0,0.507,0,0,0,0,0.71,0.387,0,0,0.636,0.578,0,0,0.252,1.513,0.664,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.838,0,0,0,0,0,0.936,0.495,0,0.832,0,0,0,0,0,1.695,0,0,0,0.349,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0.548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.161,2.002,0,1.218,0.266,0,0.355,0,0,0.428,0.567,0,1.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408,0,0,0,0,0,0,0,0,0,0,0,0.976,0,0,0,0,0,2.651,0.205,0.583,0,0.189,0.26,0,0,0,0,0,0.421,0,0,0,0,0,1.022,0,0.976,0,0,0,1.034,0,0,0,0,0,0.847,0,2.307,0.817,0.445,0,1.695,0,0,0,0,0.29,1.741,0,0,0,1.347,0,0,0,0,0,0
0,0.586,0.648,0,0,0,0,0,0,0,0,1.262,0,0,0,0,0,0,0,0,0,1.081,0,0,0.47,0.932,0,0,0,0,0,0,0,0,0.501,0.775,0,0,0,0,0,0,2.699,0,0,0.678,0,0,0,0,0,0,0.835,0,0,0,0,0,0,0,0.358,0,0,0,0,0,0.765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999,0,0,0,0,0,0.698,0,0,0,0,0.55,0,0,0,0,0,0,1.681,0,0,0,0,0,0,0,0,0,0,0,0.277,0,0,0.255,0.35,0,0,0,0,0,0.568,0,0,0,0,0,0,0.518,0,0,0,0,0,0,0,0,0.786,0,0,0,0,1.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.457,0.505,0,0,0,0,0,0,0,0,0.984,0.52,0.421,0.873,0,0,0,0,1.457,0,0.842,0,0.432,0.366,0.726,0,0,0,0,0,1.138,0,0,0.39,0.604,0,0,0,0,0.858,0,0,0,0,0.528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279,0,0.373,0,0,0.45,0.596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.955,0,0.625,0.663,0,0,0,1.341,0,0,0,0,0,0,1.597,0,0,0,0,0,1.493,0,0,0.216,0,0,0.198,0.273,0,0,0,0,1.086,0,0,0,0,0,0,0,0.404,0,0,0,0,0,0,0.927,0,0.612,0,0.889,0,0,0.858,0.468,0,0,0.768,0,0,0,0.304,0,0.802,0,0,0,0,0,0,0,0,0
0,0,0.31,0.349,0,0,0.416,0.527,0,0.537,0,0.604,0.32,0.259,0.537,0,0.429,0.563,0.56,0,1.094,0.518,0.728,0.265,0.225,0,0,0.371,0.546,0,0,0.699,0,0,0,0,0.402,0,0.354,0,0,0,0,0,0,0.324,0,0,0,0,0,0,0.4,0,0,0.583,0,0,0,0.786,0,0.478,0.229,0,1.823,0.276,0.366,0,0.679,0,0,0,0,0,0,0,0,0,0,0,1.116,0.478,0,0,1.228,0,0.703,0,0,0,0,0.408,0.263,1.66,0,0,0,0,0,0,0,0,0.981,1.273,0,0,0,0,0,0,0,0.133,0,0,0.122,0.168,0.315,0.254,0.57,0,0.667,0.272,0,0,0,0,0.449,0,0,0,0,0.804,0,0,0,0.57,0.327,0.376,0,0.546,0,0,0,0,0,0,0.472,0,0,0,0,0,0,0,0.754,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.64,0,0.721,0.382,0.309,0.64,0,0,0.672,0,0,0,0,0,0.317,0.269,0.532,0,0,0,0,0,0.834,0,1.037,0.286,0,0,0,0.422,0,0,0,0,0.839,0,0.387,0,0,0,0,0,0,0.477,0.725,0,0,0,0,0.486,0.938,0.205,0,0.273,0,0,0.33,0.437,0,0.81,0,0,0,0,0,0,0,0,0,0,0,1.331,0.57,0,0,0,0,0,0,0,0.581,0,0.486,0.314,0,0,0.983,1.255,0,0.577,0,0.839,0,1.171,0,0,0.614,0.911,0,0,0,0,0.158,0.449,0,0.145,0.2,0.376,0.304,0,0,0,0.324,0,0,0,0,0,0.787,0.296,0.751,0.849,0,0,0.796,1.28,0,0,0,0,0.652,0,1.777,0,0.343,0,0,0,0.512,0,0,0.223,1.34,0,0.949,0,0,0,0,0.73,0,0,0
0,0.171,0.189,0.213,0.57,0.723,0.254,0.321,0,0.327,0.546,0.369,0.195,0.158,0.327,0,0.262,0,0.341,0.546,0.667,0.316,0.444,0.162,0.137,0.272,0,0.226,0.333,0,0,0.427,0.499,0.53,0.146,0.226,0.245,0,0.216,0.713,0.321,0,0.788,0.429,0.602,0.198,0,0,0.479,0,0.595,0.733,0.244,0.371,0,0.356,0,0.788,0.249,0.479,0.105,0.292,0.14,0,0,0.169,0.223,0,0.414,0,0,0,0,0,0.306,0.434,0,0,0,0,0.681,0.292,0.614,0,0.749,0,0.429,0.204,0.358,0.297,0.234,0.249,0.16,1.013,0.975,0.502,0,0.429,0.295,0.491,0.429,0.566,0.599,0.776,0.384,0.314,0.465,0.595,0.56,0.405,0,0.081,0.229,0,0.074,0.102,0.192,0.155,0.347,0,0.407,0.166,0,0.518,0.468,0.739,0.274,0,0.151,0,0,0,0,0.407,0,0.347,0.199,0.229,0,0.333,0,0.908,0.321,0.175,0,0.667,0.288,0.262,0.536,0.718,0.114,0.685,0.301,0.485,0,0.53,0.521,0,0.373,0,0.488,0
0.641,0.183,0.203,0.228,0.61,0,0.271,0.344,0,0.35,0,0.394,0.209,0.169,0.35,0,0.28,0.367,0.365,0.585,0,0.338,0,0.173,0.147,0.291,0,0.242,0.357,0,0,0.456,0,0,0.156,0.242,0.263,0.633,0.231,0,0.344,0,0,0.459,0,0.212,0.571,0.85,0,0,0.637,0,0,0.397,0,0,0,0,0.266,0.513,0.112,0.312,0.15,0.629,0,0.18,0.239,0,0.443,0,0,0,0,0.459,0.328,0.465,0,0,0,0,0.728,0.312,0,0,0.802,0,0.459,0.218,0.383,0.318,0.251,0.266,0.172,0,0,0.538,0.687,0.459,0.316,0.525,0.459,0.606,0.641,0.831,0.411,0.336,0.498,0.637,0,0.433,1.117,0.087,0.246,0,0.08,0.109,0.206,0.166,0.372,0.481,0.436,0.177,0,0.554,0.501,0.79,0.293,0.431,0.162,0.411,0.465,0.525,0.709,0.436,0,0.372,0.213,0.246,0,0.357,0.595,0,0.344,0.188,0.85,0,0.308,0.28,0.574,0,0.122,0,0.322,0.519,0.492,0.567,0.557,0.516,0.399,0,0,0
0.641,0.183,0.203,0.228,0.61,0,0.271,0.344,0,0.35,0,0.394,0.209,0.169,0.35,0,0.28,0.367,0.365,0.585,0,0.338,0,0.173,0.147,0.291,0,0.242,0.357,0,0,0.456,0,0,0.156,0.242,0.263,0.633,0.231,0,0.344,0,0,0.459,0,0.212,0.571,0.85,0,0,0.637,0,0,0.397,0,0,0,0,0.266,0.513,0.112,0.312,0.15,0.629,0,0.18,0.239,0,0.443,0,0,0,0,0.459,0.328,0.465,0,0,0,0,0.728,0.312,0,0,0.802,0,0.459,0.218,0.383,0.318,0.251,0.266,0.172,0,0,0.538,0.687,0.459,0.316,0.525,0.459,0.606,0.641,0.831,0.411,0.336,0.498,0.637,0,0.433,1.117,0.087,0.246,0,0.08,0.109,0.206,0.166,0.372,0.481,0.436,0.177,0,0.554,0.501,0.79,0.293,0.431,0.162,0.411,0.465,0.525,0.709,0.436,0,0.372,0.213,0.246,0,0.357,0.595,0,0.344,0.188,0.85,0,0.308,0.28,0.574,0,0.122,0,0.322,0.519,0.492,0.567,0.557,0.516,0.399,0,0,0
0.545,0.156,0.172,0.194,0.519,0.659,0.231,0.293,0,0.298,0.498,0.336,0.178,0.144,0.298,0,0.239,0.313,0.311,0.498,0,0.288,0.405,0.147,0.125,0.248,0,0.206,0.304,0.526,0,0.389,0.455,0.483,0.133,0.206,0.224,0.539,0.196,0.65,0.293,0,0,0.391,0,0.18,0,0.723,0.437,0,0.542,0.668,0.222,0.338,0,0.324,0,0,0.227,0.437,0.095,0.266,0.127,0,0,0.154,0.203,0,0,0,0.734,0,0.501,0.391,0.279,0,0.723,0.498,0.48,0.574,0.62,0.266,0.559,0.646,0,0,0.391,0.186,0.326,0.271,0.213,0.227,0.146,0,0,0,0,0.391,0.269,0.447,0.391,0,0,0,0.35,0.286,0.424,0.542,0,0.369,0,0.074,0.209,0,0.068,0.093,0.175,0.141,0.317,0.409,0.371,0.151,0,0,0.427,0,0.249,0.367,0.138,0.35,0.395,0.447,0.604,0.371,0.596,0.317,0.182,0.209,0,0.304,0.507,0.827,0.293,0.16,0,0.608,0.262,0.239,0.489,0,0.104,0.624,0.274,0,0.419,0,0,0.439,0.34,0,0.444,0
0,0,0,0,0,0,0,0,0,0,0,1.069,0.566,0.458,0.949,0,0,0,0,0,0,0,0,0.469,0.398,0,0,0,0,0,0,0,0,0,0.424,0,0.712,0,0,0,0,0,0,0,0,0.574,0,0,0,0,0,0,0.707,0,0,0,2.467,0,0,1.39,0.303,0.846,0,0,0,0.489,0.648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.465,0,0,0,0,0,0.856,0,0,0,0,0,1.114,0,0,0,0,0,0,0,0,0,0.216,0.297,0.557,0,0,0,0,0,0,0,0,0,0,1.167,0,1.114,0,0,0,1.181,1.898,0,0,0,0,0,0,2.634,0,0,0,0,0,0,0,0,0.331,0,0,0,0,0,0,0,0,0,1.415,0
0,0,0,0.299,0,0,0.357,0.452,0,0.461,0.769,0.519,0.274,0.222,0.461,0,0.369,0.483,0.48,0.769,0.939,0,0.625,0.228,0.193,0,0,0.319,0.469,0,0,0,0,0,0.206,0.319,0.345,0.832,0.304,0,0.452,0,1.109,0.604,0.848,0.279,0,0,0.675,0,0.837,0,0.343,0.522,0,0.501,0,0,0,0.675,0.147,0.41,0.197,0,0,0.237,0,0,0.583,0,0,0,0,0,0.431,0,0,0,0,0,0.958,0.41,0,0,0,0,0.604,0,0.504,0.418,0.33,0.35,0.226,0,0,0,0.903,0,0,0,0.604,0,0.843,1.093,0.541,0.442,0.655,0,0.788,0.57,1.468,0.114,0,0,0.105,0.144,0,0.218,0,0.633,0.573,0.233,0,0.728,0,0,0.385,0.566,0.213,0,0,0,0,0,0,0,0,0.323,0,0.469,0,0,0,0.247,0,0.939,0.405,0.369,0.755,1.011,0.16,0,0.423,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1.266,0,0,0,0,1.841,0,0.788,0,0,0,0,0,0,0,0,0,0.808,0,0,0,1.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.697,0,0.784,0,0.336,0.697,0,0.557,0,0,0,0,0,0,0.344,0,0,0,0,0,0,0,0,0,0,0,0,0.522,0,0.459,0,0.684,0,0,0,0,0.421,0,0,0,0,0,0,0,0,0,0.757,0,0,0,0,0,0.621,0.297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.621,0,0,0,0,0,0,0,0,0.498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.668,0,0,0,0,0,0.172,0,0,0.158,0.218,0,0,0,0,0,0,0,0,0,1.572,0,0.856,0.322,0,0,0,0,0,0,0,0,0,0,0.709,0,0,0,0.373,0,0,0.613,0,1.142,0,0.243,0,0,0,0,0,0,0,0,0,0,0
0.648,0,0.205,0.23,0,0.783,0.274,0.348,0,0.354,0.591,0.399,0.211,0.171,0.354,0,0.283,0.372,0.369,0,0.722,0.342,0.481,0.175,0.149,0.295,0,0.245,0.361,0,0,0,0.541,0,0.158,0.245,0.266,0.64,0.233,0,0,0,0.853,0.464,0.652,0.214,0,0,0.519,0,0.644,0,0.264,0.401,0,0.385,0,0.853,0,0.519,0,0.316,0.151,0,1.204,0.182,0.242,0,0.448,0,0,0,0.595,0,0.331,0.47,0.859,0,0.57,0,0.737,0.316,0,0,0.811,0.581,0.464,0,0.387,0.321,0.253,0.269,0.174,0,0,0.544,0.694,0,0.319,0.531,0.464,0,0.648,0.84,0,0.34,0.504,0.644,0.606,0.438,1.129,0.088,0.248,0,0.08,0.111,0.208,0.168,0.376,0,0.441,0.179,1.141,0.56,0.507,0,0.296,0.435,0.164,0.416,0,0,0,0.441,0,0.376,0.216,0.248,0,0.361,0,0.983,0.348,0.19,0,0.722,0.312,0.283,0.581,0,0.123,0.741,0.325,0,0.498,0,0,0,0,0,0,0
0,0,0,0,0,0,0.455,0,0,0,0,0.662,0.35,0.283,0,0,0.47,0,0,0,1.198,0.567,0.797,0.29,0.246,0.488,0,0,0,0,0,0,0,0,0,0,0.44,0,0.387,0,0.577,0,0,0,0,0.355,0,0,0,0,1.068,0,0.438,0,0,0.639,0,0,0,0.86,0,0.523,0.251,0,0,0.302,0.401,0,0,0,0,0,0.986,0,0,0,0,0,0,0,0,0.523,0,0,1.344,0,0,0.366,0,0.533,0.42,0.446,0.288,0,0,0,1.152,0,0,0,0,0,1.074,1.394,0,0.563,0.835,1.068,0,0,0,0.145,0.412,0,0.133,0.184,0,0.279,0.624,0,0,0.298,0,0.929,0,0,0,0,0.272,0.689,0,0,0,0.731,0,0,0,0.412,0,0,0,0,0.577,0,0,0,0,0.47,0.963,0,0,0,0,0,0,0,0,0,0,0,0,0
0.64,0.183,0.202,0.227,0,0.773,0.271,0.344,0,0.35,0.584,0.394,0.208,0.169,0.35,0,0.28,0.367,0.365,0.584,0,0.338,0.475,0.173,0.147,0.291,0,0.242,0.356,0.617,0,0.456,0.534,0,0,0.242,0.262,0.632,0.231,0.763,0.344,0,0,0.459,0.644,0.212,0.57,0,0.512,0,0.636,0.784,0.261,0,0,0.38,0,0,0.266,0.512,0.112,0.312,0.149,0,1.189,0.18,0.239,0,0.443,0,0,0,0,0.459,0.327,0,0,0,0,0,0.728,0.312,0,0,0.801,0.573,0.459,0,0.383,0.318,0.25,0.266,0.172,0,0,0.537,0.686,0,0.316,0.525,0,0,0.64,0.83,0,0.335,0.498,0.636,0.598,0.433,0,0.086,0.245,0,0.079,0.109,0.205,0.166,0.371,0.481,0.435,0.177,0,0.553,0.501,0,0.293,0.43,0.162,0.411,0.464,0,0,0.435,0.699,0.371,0.213,0.245,0,0.356,0,0,0.344,0.187,0,0.713,0.308,0.28,0.573,0,0.122,0.732,0.321,0,0.492,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.553,1.148,0,0,0,0,0,0,1.107,0,0.567,0,0.954,0,0,0,0,0,0,0,0,0,0,0,2.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.855,0,0,0,0,0,0,0,0.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.563,0,0,0,0,1.504,0,0,1.504,0,0,0,0,0,0,0,0,0,0,0.284,0.804,0,0.261,0.359,0,0,1.218,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0,0.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,1.613,0,0,0,0,0,0,0
0,0,0.316,0.355,0,0,0.423,0.536,0,0.546,0,0.615,0.325,0.263,0.546,0,0.437,0.573,0.57,0,1.113,0.527,0.741,0.27,0.229,0,0,0.378,0.556,0,0,0.712,0,0,0,0.378,0.409,0,0.36,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0.407,0,0,0.594,0,0,0,0.8,0,0.486,0.233,0,0,0.281,0.373,0,0.691,0,0,0,0,0,0,0,0,0,0,0,1.136,0.486,0,0,1.25,0,0.716,0,0,0,0,0.415,0.268,1.69,0,0,0,0,0,0,0,0,0.999,1.296,0,0,0,0,0,0,0,0.135,0,0,0.124,0.171,0.321,0.259,0.58,0,0.679,0.277,0,0,0,0,0.457,0,0,0,0,0.819,0,0,0,0.58,0.333,0.383,0,0.556,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0.768,0,0,0,0,0,0,0
