accordance,achieved,achieving,action,actions,active,activities,activity,address,addresses,agenda,agreement,agreements,agriculture,aid,amount,amounts,applicant,applicants,application,applications,architecture,area,areas,article,articles,aspects,associations,automatic,award,bank,behaviour,beneficiaries,beneficiary,bodies,body,budget,budgetary,building,buildings,call,calls,cancer,capital,case,cases,centre,centres,commission,companies,company,condition,conditions,confidentiality,confirm,consumption,contact,contacts,content,contents,contract,contracts,contribution,contributions,core,cost,costs,council,countries,country,covering,creation,criteria,culture,data,date,dates,deal,decision,decisions,demand,demonstration,description,developing,development,developments,duration,dynamics,economies,economy,educational,effect,effects,eligible,emerging,energy,engagement,engineering,enhancing,enterprises,environment,environments,establishment,establishments,ethical,evaluation,evaluations,expenditure,expenditures,extent,facilities,factors,field,fields,finances,financing,formal,foundation,foundations,framework,full,fund,funding,funds,general,goals,governance,governmental,grant,grants,group,groups,guideline,guidelines,health,hearings,humanities,hydrogen,impact,impacts,implementation,including,increase,increasing,indicative,individual,individuals,industries,industry,information,infrastructure,infrastructures,innovation,innovations,institution,institutions,instrument,instruments,interaction,interactions,interest,interests,interim,investment,involve,issue,issues,key,knowledge,laboratory,law,leadership,length,life,line,manufacturing,maximum,medium,member,members,message,modelling,national,negotiation,negotiations,notice,notification,number,numbers,objective,objectives,obligations,open,organisation,organisations,organization,organizations,outcome,outcomes,parliament,participant,participants,parties,partner,partners,parts,party,payment,payments,percentage,performance,person,personal,persons,place,plan,planning,plans,play,point,points,priorities,priority,procurement,production,program,programme,programmes,programs,project,projects,promoter,promoters,promotion,proposal,proposals,protection,provision,provisions,public,publication,put,rate,rates,reader,reference,regard,relevance,repair,reporting,request,requests,requirements,result,results,return,review,rule,rules,scale,scales,scheme,schemes,science,sciences,scope,score,scores,screening,section,sections,sector,sectors,security,service,services,set,simulation,situation,situations,social,societal,societies,society,specific,staff,stem,storage,strengthening,strong,subject,submission,submit,success,sum,sums,support,supports,sustainable,synergies,taking,technological,technologies,technology,theme,themes,topic,topics,transfer,transnational,transport,treaty,union,user,users,values,view,views,vision,ways,welfare,world,writing,@@class@@
0.273,0.494,0.565,0.162,0.179,0,0.143,0.238,0.201,0.538,0,0.239,0.303,0,0,0.309,0.515,0.348,0.184,0.149,0,0,0.247,0.324,0.322,0,0.277,0,0.702,0.32,0.471,0,0.298,0.419,0.303,0.432,0.153,0.506,0.463,0,0.13,0.257,0.621,0.558,0.214,0.314,0.469,0.452,0.135,0,0.576,0.432,0.206,0.525,0.697,0,0.196,0.434,0.263,0.463,0.402,0.471,0.235,0.424,0.5,0.296,0.209,0.267,0.138,0.214,0.375,0,0.209,0.332,0.25,0.232,0.558,0.551,0.233,0.364,0,0.518,0.298,0,0.203,0,0.303,0,0,0,0,0.405,0.568,0.187,0,0.503,0.59,0,0,0.477,0,0,0,0.692,0.412,0.177,0.488,0.463,0,0,0,0.621,0.23,0.35,0,0.336,0.434,0,0,0.235,0.25,0.452,0.099,0.275,0.132,0.554,0,0,0.159,0.211,0.328,0.32,0,0,0.429,0.843,0,0,0.232,0.469,0.198,0.124,0.344,0.518,0.405,0.289,0.41,0,0,0.051,0.497,0.594,0.275,0,0,0.275,0.548,0,0.579,0.669,0.285,0.427,0,0.506,0.458,0.471,0.27,0,0.265,0.895,0.405,0,0.682,0,0.272,0,0.23,0,0.192,0.338,0.864,0,0.158,0.518,0.609,0.442,0,0.189,0.551,0.28,0.221,0.48,0.232,0.235,0.151,0,0,0.474,0.606,0,0.405,0.279,0.463,0.202,0.203,0.405,0.534,0,0,0,0,0.354,0.362,0.332,0.244,0.296,0.439,0.561,0,0.346,0.302,0,0.382,0.398,0,0,0.076,0.217,0,0.07,0.097,0,0,0,0.181,0.146,0.328,0.424,0.384,0.156,0.369,0.46,0.354,0.354,0.766,0.302,0.362,0.314,0,0.488,0.442,0,0.258,0.38,0.143,0,0.33,0,0.202,0.424,0,0.362,0.41,0,0,0.389,0.548,0.534,0.857,0.356,0.613,0,0,0.328,0.188,0.217,0.188,0,0.471,0.598,0,0.525,0,0.303,0.165,0.314,0.583,0,0,0,0.272,0.247,0.342,0,0.506,0.678,0.108,0,0,0.5,0.284,0.412,0.458,0.434,0.5,0.491,0.455,0.352,0.36,0.518,0,0,0.198,0.491,0.434,0,0.298,0.692,0,0.568,0.534,0.46,0.565,0
0.282,0.509,0.582,0.167,0.184,0.398,0.147,0.245,0.207,0.554,0.703,0.247,0.313,0,0,0.318,0,0,0.19,0.154,0.318,0,0.255,0.334,0.332,0.531,0.285,0.649,0,0.33,0.486,0.914,0,0,0.313,0,0.157,0,0.477,0.939,0.133,0.265,0.641,0,0.22,0.324,0.483,0,0.14,0.561,0.593,0,0.213,0,0,0,0.202,0.447,0.271,0,0.415,0.486,0.242,0.437,0.516,0.305,0.216,0.275,0.142,0.22,0.387,0.628,0.216,0.342,0.258,0.239,0,0,0.24,0.376,0,0.534,0.307,0.534,0.21,0.694,0.313,0,0,0,0.766,0.417,0.586,0.192,0.744,0.519,0.608,0.772,0.645,0,0.466,0.854,0.579,0.713,0.425,0.183,0.503,0.477,1.094,0.551,0.572,0.641,0.237,0.361,0,0.346,0,0.827,0.766,0.242,0.258,0.466,0.102,0,0.136,0,0.75,0,0.164,0.217,0.338,0.33,0,0.403,0.442,0,0,1.015,0.239,0.483,0.204,0.127,0.354,0,0.417,0.298,0,0,0.531,0.053,0.512,0.612,0.284,0,0,0.284,0,0.689,0.597,0.689,0.294,0,0.728,0.522,0.472,0.486,0.278,0.389,0.273,0.923,0,0,0,0.5,0.28,0.891,0.237,0.528,0.198,0.348,0,1.107,0.163,0.534,0,0.455,0,0.195,0,0.289,0.228,0.494,0.239,0.242,0.156,0.985,0,0.489,0,0,0.417,0.287,0.477,0.208,0.21,0.417,0.551,0,0,0,0.516,0,0,0,0.251,0.305,0.453,0,0.662,0.356,0.311,0.544,0.394,0.41,0.62,1.015,0.079,0.223,0,0.072,0.099,0,0,0,0.187,0.151,0.338,0.437,0.396,0.161,0.38,0.474,0.365,0.365,0,0.311,0,0.324,0,0,0,0,0.266,0.391,0.147,0,0.34,0,0.208,0.437,0.876,0.374,0.422,0.477,0.645,0.401,0,0.551,0,0.367,0,0.396,0.636,0.338,0.194,0.223,0.194,0.939,0,0.616,0,0.541,0,0.313,0.171,0.324,0,0.772,0.649,0.519,0.28,0.255,0.352,0.684,0.522,0,0.111,0,0.519,0.516,0.292,0.425,0.472,0.447,0.516,0.506,0.469,0.363,0.371,0.534,0.503,0.666,0.204,0.506,0.447,0,0.307,0.713,1.082,0.586,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.475,0,0,0,0,0,0,0,0.689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346,0,0,0,0,0,0,0.739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.014,0,0,0,0.18,0,0,0,0,0,0.965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.553,0,0,0,0,0,0,0,0,0,0,0.823,0.531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268,0.76,0,0,0.339,4.575,0,0,0,0,0,0,0,0.549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,1.199,0,0,0,0.377,0,0,0,0,0,0,0,1.754,0,0,0,0,0,0,0,0.694,0,0,0,0,2.428,0,1.994,0,0,0,0
0,0,0,0,0.619,0,0.495,0.824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.123,0,0,0,0,0,0,0,0,0,0,0,0,0.529,0,0,0,0.449,0,0,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0.681,0,0.913,0,0,0,0,0,0,0,0,0,0.478,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.578,0,0,0,0,0,0,0,0,1.654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.813,0,1.568,0,0.954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.803,0,0,0.429,1.192,0,0,1.002,1.42,0,0,0.177,0,0,0,0,0,0.954,0,2.318,0,0,0,0,0,0,1.587,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667,0,0,0,0.547,0,0,1.532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265,0.751,0,0.243,0.335,0,0,0,0,0.508,0,0,0,0.543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.495,0,1.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.332,0,0,0.652,0,0.652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373,0,0,0,0,0,1.587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.557,1.204,0,0,0,1.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422,0,0,0,0,0,0,0,0.612,0,0.82,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.634,2.097,0,0,0,0,2.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.731,0,0,0,0,0,1.728,0,0,0,0,0,0.998,0,0,0,0,0,0,0,0,0,0,1.071,0,0,0,0,0,0,0.159,0,0,0.857,0,0,0,0,2.083,0,0,0,0,0,0,0,0,0.841,1.176,0,0,0,0,0,1.513,0,0,0,0,0.599,0,0,0,0,0,0,1.377,0,0,0,0,0,0,0,0,0.472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.129,0,0,0,0,0,0,0,0,1.645,0,0,0,0,0.238,0.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445,0,0,0,0,0,0,0,0,1.443,0,0,0,0,0,0,0,0,0,0,0.586,0.675,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,2.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.911,0,0,0,0,0,0,0,0
0,0,0,0,0.485,0,0.387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.879,0,0,0,0,0,0.869,0,0,0,0,0,0,0.414,0,0,0,0,0,0,0,0,0,0,0,0.368,0,0,0,0,0,0,0,0.533,0,0.715,0,0,0,0,0,0,0,0,0,0.374,0,1.018,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.542,0,0,0,0,0,0,1.294,0,0,1.523,0,0,0,0,0,0,0,1.504,0,0,0.949,0,0,0,0,0,0.637,0,0,0.268,0.746,0,0,0,0,0,0,0.89,0,0,0,0,0,0,0,0.628,0,0.537,0,0.933,0,0,0.784,0,0,0,0.139,0,0,0,0,1.742,0.746,0,1.814,0,0,0,0,0,0,0,0,0,0,0,2.429,0,0,0,0,0,0,0,0,0.522,0,0,0,0.428,0,0,1.199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207,0.588,0,0,0.262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387,0,0,0,0,0,0,0,0,0,1.697,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0.853,0,0,0,0,0,0,0,1.802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.878,0,0,0,1.249,0,0
0,0,0,0,0.658,1.423,0.526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.499,0,0,0,0,0,0,0,0.723,0,0.97,0,0,0,0,0,0,0,0,0,0.508,0.786,0,0,0,0,0,0,0,0,0,0,0,0,0,1.909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.847,0,0,0,0,0,0,0.864,0,0,0,1.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.266,0,0,0,1.508,0,0,0.188,0,0,1.013,0,0,0,0,2.462,0,0,0,0,0,0,0,0,0,1.39,0.976,0,0,0,0,0,0,0,0,0,0.708,0,0,0,0,0,0,1.627,0,0,0,0,0,0,0,0,0.558,0,0,0,0,0,0,0,0,0,0.749,0,0,0,0,0,0,0,1.334,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281,0.797,0,0,0.355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.526,0,0,0,0,0,3.128,0,0,0,0,0,0,0,0,0,0,1.414,0,0,0.693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.445,0,0,0,0,0,0,0,0,0,0,0,1.809,0,0,1.326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.604,0,0.483,0,0,0,0,0,0,0,0,1.045,0,0,0,0,0,0,0,0,0,0,0,2.129,0,0,0,0,0,0,1.026,0,0,0,0,0,0,0,0,0,0,0,0,1.53,0.458,0,0,0,0.698,0,0,0,0.664,0,0.891,0,0,0,0,0,0,0,0,0,0.466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.688,0,0,0,0,0,2.514,0,0,0,0,0,0,0,0,1.613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.793,0,0,0,0.93,0,0,0,0,0,0,0,1.083,0,0,0,0,0,0,0,0,0.669,0.418,1.162,0,0,0,0,0,0,0.173,0,0,0,0,0,0,0,2.261,0,0,0,0,0,0,1.548,0,0,0,0.896,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,1.494,0,0.641,0,0,0.747,0,0,0,0.512,0,0,0,0,0,0,0,0,0,0.688,0,0,0,0,0,0,0,1.225,0,0,0,1.485,0,0,0,0,0,0,0,0,0,0.258,0.732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483,0,0,0,0,1.434,0,0,0,0,0,0,0,0,0,0,0,1.299,0,0,0.636,0.732,0,0,0,0,0,0,0,1.026,0.559,1.064,0,0,0,0,0,0,0,2.246,0,0,0.364,0,0,0,0.959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.922,0,0,0,0
0,0,0,0,0,0,0.805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.764,0,0,0,0,0,0,0,1.108,0,1.485,0,0,0,0,0,0,0,0,0,0.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289,0,0,1.552,0,0,0,0,3.771,0,0,0,0,0,0,0,0,0,2.129,0,0,0,0,0,0,0,0,0,0,1.084,0,0,0,0,0,0,2.492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,1.221,0,0.396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.671,0,0.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.217,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.965,0,0,0,0,0,0,0.509,0,0,0,0,0,0,0,0.738,0,0.989,0,0,0,0,0,0,0,0,0,0.518,0,0,0,0,0,0.94,0,0,0,0.875,0,0,0,0,0,0.764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.314,0,0,0,0,0,0.881,0,0,0,1.033,0,0,0,0,0,0.791,0,0,0,0,0,0,0,0,0,0,0,0,1.291,0,0,0,0,0,0,0.192,0,0,1.033,0,0,0,0,2.511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.722,0,0,0,0.593,0,0,1.66,0,0,0,0,0,0,0,0,0.569,0,0,0,0,0,0,0,0,0,0.764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287,0.813,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.443,0,0,0.707,0,0,0,0,0,1.181,0,0,0,0.621,0,0,0,0,0,1.021,0,0,0,0,0,0.404,0,0,0,0,0,1.719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.635,0,0.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.481,0,0,0,0,0,0,0,0.698,0,0.936,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.723,0,0,0,0,0,2.642,0,0,0.664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.817,1.243,0,0,0,0,0,0.834,0,0,0.351,0.978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.439,0,0,0,0,0,0,0,0.182,0,0,0.978,0,2.282,0,0,2.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.683,0,0,0,0,0,0,1.57,0,0,0,0,0,0,0.823,0.834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.288,0,0.867,0,0,0,0,0,0,1.876,0,0,0,0,0.271,0.769,0,0.249,0.343,0,0,1.853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.194,0,0.668,0,0.668,0,0,0,1.117,0,0,0,0,0,0,0,0,0,0,0,0,2.36,0,0,0,0,0,0,0,0,1.626,0,0,0,0,0,0,0,0,0,0,0,0,2.18,0,0,0,0,0,0,0,0
0,0,0,0.579,0.64,0,0.511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.127,0,0,0.485,0,0,0,0,0,0,0,0.704,0,0.943,0,0,0,0,0,0,0,0,0,0.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.969,0,0,0,0,0,0,0,0,0,0,0,1.253,0,0,0,0,0,0.84,0,0,0,0,0.472,0,0,0,0,0,0,1.147,0,0,0,0,0,0,0.829,0,0,0,0,0,0,0,0,0,0,0.183,0,0,0.985,0,0,0,0,2.395,0,0,0,0,0,0,0,0,0.967,0,0,0,0,0,0,0,0,0,0,0,0.689,0,0,0,0,0,0,1.583,0,0,0,0,0,0,0.829,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.891,1.368,0,0,0,0.273,0.776,0,0,0.346,0,0,1.869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.674,0,0.674,0,0,0,1.127,0,0,0,0,1.127,0,0,0,0,0,0,0,0,0,0,0.385,2.316,0,0,0,0,1.639,1.555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.036,0,0,0,0
0,0,0,0.897,0,0,0.793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.752,0,0,0,0,0,0,0,1.091,0,1.463,0,0,0,0,0,0,0,0,0,0.766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284,0,0,1.528,0,0,0,0,3.713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.068,0,0,0,0,0,0,2.454,0,1.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424,1.203,0,0.39,0.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.542,0,0,0,0,0,0,0,0,0,0,0,2.411,0,0,0,0,0,0,0,0,0
0,0,0,0.573,0,1.37,0.506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.233,0,0,0,0,0,0,0,0,0,0,0,0,0.459,0,0,0,0,0,1.662,1.604,0.48,0,0,0,0,0,0,0,0.697,0,0.934,0,0,0,0,1.504,0,0,0,0,0.489,0,0,2.161,0,1.177,0,0,0,0,0,0,0,0,0,0,0.722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.832,0,0,0,0,0,0,0,0,0,0,1.163,1.136,0,0,0,0,0,0,0,0,0,0.438,0,0,0,0,0,0,0,0.181,0,0,0,0,0,0.976,0,2.371,2.054,0,1.012,0,0,0,0,0,0.958,1.339,0,0,1.436,0,0,0,0,0,0,0,0.682,1.198,0,0,0,0,0,1.567,0,0.672,0,0,0,0,0,0,0,0,0,0,0,1.549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271,0.768,0,0.249,0.342,0,0,0,0,0.519,0,0,0,0.555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.506,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667,0,0.667,0,0,0,0,0,0,1.076,0.587,0,0,0,0,0,0,0,0,2.355,0,0,0.382,0,0,0,0,0,0,0,0,0,0,1.248,0,0,0,0,0,0,0,0,0,0,0,0,0,1.633,0,0
0,0,0,0,0,0,0.362,0,0,0,1.729,0,0.768,0,0,0,0,0,0,0,0,0,0,0.821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.173,0,0,0,0,0,0,0,1.187,0,0.343,0,0,0,0,0,0,0,0.498,0,0.667,0,0,0,0,0,0,0,0,0,0.349,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0.515,0,0,0,0,0,0,0,0,0,0,0,0,0,1.584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.594,0,0,0,0,0,1.404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.732,0,0,0,0.13,0,0,0,0,0,0.697,1.387,1.693,0,0,0.723,0,0,0,0,0,0.684,0.956,0,0,0,0,0,0,0,0,0,0,0.487,0,0,0,0.4,0,0,1.119,0,0,0,0,0,0,0,0.594,0,0,0,0,0,0,0,0,0,0.512,0.515,0,0,0,0,0,0,0,0,0,0.618,0,0,0,0,0,0,0,0.967,0,0,0,0.193,0.548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.476,0.548,0,0,0,0,0.797,0,2.17,0,0,0,0,0,1.595,0,0,0,0,0,0,0,0.273,1.637,0,0,0,0,0,0,0,1.244,0,0,0,0,0,0,0,0,0,1.554,0,0,0,0,0,1.166,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.233,0,0,0,0,0,0,0,0,0,0,0,0,0,0.551,0,0,0,0,0,0,0,0.798,0,1.07,0,0,0,0,0,0,0,0,0,0.561,0,0,0,0,1.349,0,0,0,0,0,0,0,0,0,0,0.827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.954,0,0,0.401,0,0.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.503,0,0,0,0,1.665,0,0,0.208,0,0,0,0,0,1.118,0,2.718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.781,0,0,0,0.641,0,0,1.796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.88,0,0,0.392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.804,0,0,0,0,0,0,0,0,1.871,0,0
